team_name,map,winrate,pick_pct,ban_pct,maps_played
3dmax,Dust2,0.75,0.5,0.111,4
3dmax,Inferno,0.75,0.6,0.0,4
3dmax,Ancient,0.25,0.0,0.111,4
3dmax,Anubis,0.33299999999999996,0.2,0.125,3
3dmax,Nuke,0.0,0.0,0.25,2
astralis,Ancient,0.5,0.5,0.048,10
astralis,Dust2,0.25,0.0,0.304,8
astralis,Inferno,0.5,0.6,0.0,8
astralis,Mirage,0.4,0.0,0.348,5
astralis,Nuke,0.5,0.0,0.1,4
astralis,Train,0.5,0.182,0.087,4
aurora,Mirage,0.6920000000000001,0.364,0.07400000000000001,13
aurora,Nuke,0.7,0.2,0.091,10
aurora,Anubis,0.7,0.43799999999999994,0.28,10
aurora,Inferno,0.25,0.33299999999999996,0.043,8
aurora,Train,0.429,0.2,0.12,7
aurora,Ancient,0.5710000000000001,0.0,0.522,7
aurora,Dust2,0.33299999999999996,0.0,0.429,3
b8,Mirage,0.684,0.8420000000000001,0.0,19
b8,Inferno,0.636,0.154,0.115,11
b8,Ancient,0.778,0.14300000000000002,0.10300000000000001,9
b8,Dust2,0.375,0.133,0.1,8
b8,Train,0.5,0.0,0.379,6
b8,Anubis,0.33299999999999996,0.0,0.33299999999999996,3
b8,Nuke,0.0,0.0,0.773,2
betboom,Dust2,0.375,0.125,0.52,8
betboom,Mirage,0.625,0.364,0.045,8
betboom,Anubis,0.75,0.16699999999999998,0.125,8
betboom,Nuke,0.7140000000000001,0.125,0.24,7
betboom,Ancient,0.5710000000000001,0.2,0.348,7
betboom,Train,0.667,0.375,0.15,6
betboom,Inferno,1.0,0.0,0.8,1
betclic,Ancient,0.6,0.4,0.125,5
betclic,Mirage,0.25,0.5,0.0,4
betclic,Anubis,0.0,0.28600000000000003,0.0,3
betclic,Dust2,0.0,0.0,0.25,2
betclic,Train,0.0,0.0,0.273,2
betclic,Nuke,1.0,0.125,0.071,1
big,Mirage,0.444,0.33299999999999996,0.059000000000000004,9
big,Dust2,0.28600000000000003,0.0,0.17600000000000002,7
big,Inferno,0.429,0.5,0.071,7
big,Ancient,0.28600000000000003,0.3,0.105,7
big,Train,0.0,0.1,0.389,1
complexity,Anubis,0.8,0.5,0.0,10
complexity,Dust2,0.33299999999999996,0.0,0.381,6
complexity,Train,0.833,1.0,0.0,6
complexity,Ancient,0.6,0.0,0.17600000000000002,5
complexity,Inferno,0.5,0.091,0.182,4
complexity,Nuke,0.5,0.0,0.192,2
falcons,Dust2,0.8,0.474,0.14300000000000002,10
falcons,Mirage,0.6,0.316,0.036000000000000004,10
falcons,Inferno,0.5,0.062,0.188,10
falcons,Nuke,0.667,0.133,0.07400000000000001,9
falcons,Ancient,0.667,0.133,0.20800000000000002,9
falcons,Train,0.375,0.28600000000000003,0.125,8
faze,Dust2,0.545,0.5379999999999999,0.095,11
faze,Nuke,0.5710000000000001,0.462,0.19,7
faze,Ancient,0.429,0.14300000000000002,0.083,7
faze,Anubis,0.6,0.1,0.1,5
faze,Inferno,1.0,0.182,0.32,4
faze,Mirage,0.0,0.0,0.318,3
faze,Train,0.5,0.0,0.44,2
flyquest,Inferno,0.33299999999999996,0.6,0.1,6
flyquest,Ancient,0.25,0.28600000000000003,0.083,4
flyquest,Mirage,0.33299999999999996,0.14300000000000002,0.077,3
flyquest,Nuke,0.0,0.0,0.1,3
flyquest,Dust2,1.0,0.2,0.0,2
flyquest,Anubis,0.0,0.125,0.267,1
furia,Anubis,0.5,0.556,0.214,6
furia,Mirage,0.2,0.0,0.091,5
furia,Dust2,0.75,0.28600000000000003,0.077,4
furia,Inferno,0.25,0.0,0.158,4
furia,Train,0.5,0.33299999999999996,0.0,4
furia,Nuke,0.5,0.125,0.133,2
g2,Dust2,1.0,0.5379999999999999,0.062,8
g2,Ancient,0.7140000000000001,0.16699999999999998,0.053,7
g2,Inferno,0.667,0.312,0.0,6
g2,Mirage,0.8,0.222,0.25,5
g2,Anubis,0.2,0.0,0.273,5
g2,Nuke,0.0,0.0,0.15,4
gamerlegion,Mirage,0.5,0.5,0.14300000000000002,8
gamerlegion,Ancient,0.625,0.33299999999999996,0.043,8
gamerlegion,Nuke,0.28600000000000003,0.0,0.217,7
gamerlegion,Inferno,0.33299999999999996,0.308,0.0,6
gamerlegion,Anubis,0.4,0.0,0.22699999999999998,5
gamerlegion,Train,0.667,0.111,0.217,3
heroic,Ancient,0.857,0.125,0.0,7
heroic,Dust2,1.0,0.5710000000000001,0.16699999999999998,5
heroic,Mirage,0.6,0.429,0.0,5
heroic,Anubis,0.8,0.33299999999999996,0.0,5
heroic,Train,1.0,0.0,0.474,3
heroic,Nuke,0.5,0.0,0.2,2
legacy,Ancient,0.5710000000000001,0.14300000000000002,0.154,7
legacy,Anubis,0.4,0.2,0.083,5
legacy,Nuke,0.5,0.125,0.25,4
legacy,Mirage,0.667,0.4,0.273,3
legacy,Dust2,0.5,0.28600000000000003,0.214,2
legacy,Inferno,1.0,0.16699999999999998,0.214,2
liquid,Anubis,0.5,0.5,0.0,8
liquid,Ancient,0.6,0.125,0.0,5
liquid,Dust2,0.5,0.14300000000000002,0.2,4
liquid,Mirage,0.0,0.6,0.41700000000000004,4
liquid,Nuke,0.0,0.14300000000000002,0.33299999999999996,3
liquid,Inferno,0.0,0.0,0.19,2
m80,Dust2,0.429,0.75,0.091,7
m80,Inferno,0.33299999999999996,0.0,0.0,6
m80,Ancient,0.833,0.429,0.0,6
m80,Mirage,0.5,0.222,0.28600000000000003,4
m80,Train,0.5,0.0,0.091,4
mibr,Anubis,0.667,0.7140000000000001,0.0,6
mibr,Mirage,0.33299999999999996,0.0,0.125,3
mibr,Inferno,0.33299999999999996,0.0,0.071,3
mibr,Nuke,0.5,0.0,0.231,2
mibr,Train,0.5,0.5,0.125,2
mibr,Ancient,0.0,0.0,0.111,2
mouz,Nuke,0.636,0.769,0.0,11
mouz,Dust2,0.4,0.0,0.2,10
mouz,Inferno,0.28600000000000003,0.1,0.23800000000000002,7
mouz,Mirage,0.833,0.375,0.13,6
mouz,Ancient,1.0,0.125,0.053,4
mouz,Train,0.33299999999999996,0.0,0.05,3
natus-vincere,Inferno,0.667,0.16699999999999998,0.071,9
natus-vincere,Mirage,0.625,0.636,0.077,8
natus-vincere,Dust2,0.4,0.28600000000000003,0.2,5
natus-vincere,Anubis,0.25,0.2,0.429,4
natus-vincere,Ancient,0.5,0.0,0.28600000000000003,2
natus-vincere,Train,1.0,0.14300000000000002,0.33299999999999996,1
ninjas-in-pyjamas,Train,0.7140000000000001,0.6,0.0,7
ninjas-in-pyjamas,Dust2,0.4,0.0,0.235,5
ninjas-in-pyjamas,Inferno,0.6,0.0,0.154,5
ninjas-in-pyjamas,Ancient,0.6,0.222,0.0,5
ninjas-in-pyjamas,Nuke,0.5,0.667,0.0,4
ninjas-in-pyjamas,Anubis,0.667,0.0,0.21100000000000002,3
oddik,Anubis,0.6,1.0,0.0,5
oddik,Dust2,0.0,0.16699999999999998,0.111,3
oddik,Nuke,0.667,0.0,0.0,3
oddik,Inferno,0.0,0.0,0.364,2
oddik,Train,0.0,0.0,0.14300000000000002,1
oddik,Ancient,1.0,0.0,0.0,1
pain,Inferno,0.28600000000000003,0.0,0.0,7
pain,Nuke,0.33299999999999996,0.667,0.071,6
pain,Anubis,0.0,0.5,0.14300000000000002,4
pain,Dust2,0.0,0.1,0.062,3
pain,Train,0.0,0.0,0.368,3
pain,Mirage,0.5,0.14300000000000002,0.091,2
saw,Nuke,0.75,0.8,0.1,4
saw,Ancient,0.0,0.0,0.33299999999999996,4
saw,Train,0.0,0.4,0.0,3
saw,Anubis,0.667,0.0,0.083,3
saw,Dust2,0.0,0.0,0.5,2
saw,Inferno,0.0,0.0,0.2,2
spirit,Dust2,0.875,0.583,0.0,8
spirit,Nuke,0.5710000000000001,0.273,0.111,7
spirit,Anubis,0.833,0.28600000000000003,0.188,6
spirit,Mirage,0.6,0.111,0.125,5
spirit,Ancient,0.4,0.091,0.048,5
spirit,Train,1.0,0.0,0.28600000000000003,1
the-mongolz,Mirage,0.667,0.583,0.0,9
the-mongolz,Ancient,0.556,0.667,0.0,9
the-mongolz,Inferno,0.75,0.11800000000000001,0.034,8
the-mongolz,Anubis,0.375,0.077,0.12,8
the-mongolz,Dust2,0.4,0.0,0.24,5
the-mongolz,Nuke,0.4,0.0,0.308,5
tyloo,Inferno,0.889,0.8,0.071,9
tyloo,Ancient,0.2,0.1,0.368,5
tyloo,Train,0.5,0.14300000000000002,0.062,4
tyloo,Mirage,0.667,0.0,0.154,3
tyloo,Nuke,0.33299999999999996,0.0,0.263,3
tyloo,Anubis,1.0,0.111,0.053,3
virtuspro,Dust2,0.6,0.643,0.0,10
virtuspro,Ancient,0.3,0.308,0.091,10
virtuspro,Mirage,0.429,0.083,0.1,7
virtuspro,Inferno,0.6,0.0,0.111,5
virtuspro,Anubis,0.25,0.182,0.14300000000000002,4
virtuspro,Train,0.5,0.0,0.318,2
vitality,Mirage,0.6,0.0,0.111,10
vitality,Inferno,0.9,0.5379999999999999,0.0,10
vitality,Nuke,0.8,0.33299999999999996,0.158,10
vitality,Dust2,0.7140000000000001,0.294,0.182,7
vitality,Train,1.0,0.125,0.053,4
vitality,Anubis,1.0,0.0,0.14300000000000002,4
wildcard,Anubis,0.5,0.14300000000000002,0.083,6
wildcard,Dust2,0.0,0.14300000000000002,0.273,5
wildcard,Inferno,0.5,0.8,0.0,4
wildcard,Nuke,1.0,0.28600000000000003,0.0,2
wildcard,Mirage,0.0,0.0,0.875,1
